,roc-auc,prc-auc,ece,mce,nll,brier
ChemBERTa_none,2,1,5,3,7,5
ChemBERTa_MCDropout,5,5,4,7,5,2
ChemBERTa_TemperatureScaling,3,2,3,18,3,4
ChemBERTa_SWAG,4,3,6,1,10,7
ChemBERTa_BBP,7,6,9,22,4,6
ChemBERTa_SGLD,1,4,2,6,2,3
ChemBERTa_DeepEnsembles,8,7,1,32,1,1
ChemBERTa_FocalLoss,6,8,29,16,11,8
GROVER_none,13,15,24,4,15,15
GROVER_MCDropout,15,13,26,24,16,14
GROVER_TemperatureScaling,12,14,15,17,8,11
GROVER_SWAG,9,10,16,12,6,9
GROVER_BBP,18,19,30,2,23,22
GROVER_SGLD,10,9,23,27,9,10
GROVER_DeepEnsembles,11,12,27,9,13,13
GROVER_FocalLoss,14,11,32,13,30,31
DNN-rdkit_none,27,26,25,29,28,28
DNN-rdkit_MCDropout,30,31,14,8,24,24
DNN-rdkit_TemperatureScaling,28,27,18,31,26,26
DNN-rdkit_SWAG,29,28,22,26,31,27
DNN-rdkit_BBP,32,32,21,5,27,29
DNN-rdkit_SGLD,26,29,20,20,29,25
DNN-rdkit_DeepEnsembles,31,25,7,30,21,21
DNN-rdkit_FocalLoss,25,30,28,15,25,30
Uni-Mol_none,22,22,17,19,20,20
Uni-Mol_MCDropout,23,23,19,28,22,23
Uni-Mol_TemperatureScaling,21,21,13,25,19,19
Uni-Mol_SWAG,19,16,8,14,12,12
Uni-Mol_BBP,16,18,11,23,14,18
Uni-Mol_SGLD,24,20,10,21,18,17
Uni-Mol_DeepEnsembles,17,17,12,11,17,16
Uni-Mol_FocalLoss,20,24,31,10,32,32
